1st_t t_2024-12-02_raw
 
ForceDisplay	Rep	Set	timer	X	Y	Z	A	M
Low Viscosity	1	1	00:01:929	-01.6754	-07.4798	66.0000	-102.626	007.665
Low Viscosity	1	1	00:01:937	-01.3052	-06.7641	66.0000	-100.922	006.889
Low Viscosity	1	1	00:01:943	-01.3052	-06.7641	66.0000	-100.922	006.889
Low Viscosity	1	1	00:01:950	-01.3052	-06.7641	66.0000	-100.922	006.889
Low Viscosity	1	1	00:01:957	-00.7126	-05.3351	66.0000	-097.608	005.383
Low Viscosity	1	1	00:01:964	-00.7126	-05.3351	66.0000	-097.608	005.383
Low Viscosity	1	1	00:01:971	-00.7126	-05.3351	66.0000	-097.608	005.383
Low Viscosity	1	1	00:01:978	00.0289	-03.3414	66.0000	-089.504	003.342
Low Viscosity	1	1	00:01:985	00.0289	-03.3414	66.0000	-089.504	003.342
Low Viscosity	1	1	00:01:993	00.0289	-03.3414	66.0000	-089.504	003.342
Low Viscosity	1	1	00:02:002	00.8419	-01.0699	66.0000	-051.802	001.361
Low Viscosity	1	1	00:02:010	00.8419	-01.0699	66.0000	-051.802	001.361
Low Viscosity	1	1	00:02:018	01.4086	00.6500	66.0000	024.772	001.551
Low Viscosity	1	1	00:02:026	01.4086	00.6500	66.0000	024.772	001.551
Low Viscosity	1	1	00:02:037	01.4086	00.6500	66.0000	024.772	001.551
Low Viscosity	1	1	00:02:045	02.1966	02.8671	66.0000	052.543	003.612
Low Viscosity	1	1	00:02:053	02.1966	02.8671	66.0000	052.543	003.612
Low Viscosity	1	1	00:02:062	02.6370	03.9989	66.0000	056.598	004.790
Low Viscosity	1	1	00:02:069	02.6370	03.9989	66.0000	056.598	004.790
Low Viscosity	1	1	00:02:078	02.9272	05.2200	66.0000	060.718	005.985
Low Viscosity	1	1	00:02:086	02.9272	05.2200	66.0000	060.718	005.985
Low Viscosity	1	1	00:02:094	02.9272	05.2200	66.0000	060.718	005.985
Low Viscosity	1	1	00:02:102	03.0177	05.7044	66.0000	062.120	006.453
Low Viscosity	1	1	00:02:109	03.0177	05.7044	66.0000	062.120	006.453
Low Viscosity	1	1	00:02:117	02.9615	05.4481	66.0000	061.472	006.201
Low Viscosity	1	1	00:02:124	02.9615	05.4481	66.0000	061.472	006.201
Low Viscosity	1	1	00:02:130	02.9615	05.4481	66.0000	061.472	006.201
Low Viscosity	1	1	00:02:138	02.8784	03.9359	66.0000	053.821	004.876
Low Viscosity	1	1	00:02:144	02.8784	03.9359	66.0000	053.821	004.876
Low Viscosity	1	1	00:02:152	02.8784	03.9359	66.0000	053.821	004.876
Low Viscosity	1	1	00:02:161	02.7991	02.3316	66.0000	039.793	003.643
Low Viscosity	1	1	00:02:170	02.7991	02.3316	66.0000	039.793	003.643
Low Viscosity	1	1	00:02:179	02.7948	01.0339	66.0000	020.302	002.980
Low Viscosity	1	1	00:02:186	02.7948	01.0339	66.0000	020.302	002.980
Low Viscosity	1	1	00:02:193	02.7948	01.0339	66.0000	020.302	002.980
Low Viscosity	1	1	00:02:200	02.7927	-00.5912	66.0000	-011.953	002.855
Low Viscosity	1	1	00:02:206	02.7927	-00.5912	66.0000	-011.953	002.855
Low Viscosity	1	1	00:02:213	02.7927	-00.5912	66.0000	-011.953	002.855
Low Viscosity	1	1	00:02:220	02.8390	-02.0142	66.0000	-035.354	003.481
Low Viscosity	1	1	00:02:227	02.8390	-02.0142	66.0000	-035.354	003.481
Low Viscosity	1	1	00:02:233	02.8390	-02.0142	66.0000	-035.354	003.481
Low Viscosity	1	1	00:02:241	02.9338	-03.3749	66.0000	-048.999	004.472
Low Viscosity	1	1	00:02:247	02.9338	-03.3749	66.0000	-048.999	004.472
Low Viscosity	1	1	00:02:255	03.0291	-04.1291	66.0000	-053.736	005.121
Low Viscosity	1	1	00:02:261	03.0291	-04.1291	66.0000	-053.736	005.121
Low Viscosity	1	1	00:02:268	03.0291	-04.1291	66.0000	-053.736	005.121
Low Viscosity	1	1	00:02:277	03.1725	-04.9095	66.0000	-057.130	005.845
Low Viscosity	1	1	00:02:286	03.1725	-04.9095	66.0000	-057.130	005.845
Low Viscosity	1	1	00:02:295	03.1725	-04.9095	66.0000	-057.130	005.845
Low Viscosity	1	1	00:02:302	03.2475	-05.2197	66.0000	-058.112	006.147
Low Viscosity	1	1	00:02:309	03.2475	-05.2197	66.0000	-058.112	006.147
Low Viscosity	1	1	00:02:316	03.2499	-05.1502	66.0000	-057.747	006.090
Low Viscosity	1	1	00:02:323	03.2499	-05.1502	66.0000	-057.747	006.090
Low Viscosity	1	1	00:02:329	03.2499	-05.1502	66.0000	-057.747	006.090
Low Viscosity	1	1	00:02:337	03.2527	-04.7497	66.0000	-055.596	005.757
Low Viscosity	1	1	00:02:344	03.2527	-04.7497	66.0000	-055.596	005.757
