1st_ff f_2024-12-02_raw
 
ForceDisplay	Rep	Set	timer	X	Y	Z	A	M
Low Viscosity	1	1	00:01:165	02.0000	17.5152	66.0000	083.486	017.629
Low Viscosity	1	1	00:01:172	02.0000	17.5152	66.0000	083.486	017.629
Low Viscosity	1	1	00:01:180	02.0000	17.5152	66.0000	083.486	017.629
Low Viscosity	1	1	00:01:189	02.0000	17.7152	66.0000	083.559	017.828
Low Viscosity	1	1	00:01:199	02.0000	17.7152	66.0000	083.559	017.828
Low Viscosity	1	1	00:01:210	02.0000	17.9152	66.0000	083.630	018.026
Low Viscosity	1	1	00:01:219	02.0000	17.9152	66.0000	083.630	018.026
Low Viscosity	1	1	00:01:229	02.0000	18.1152	66.0000	083.700	018.225
Low Viscosity	1	1	00:01:236	02.0000	18.1152	66.0000	083.700	018.225
Low Viscosity	1	1	00:01:244	02.0000	18.1152	66.0000	083.700	018.225
Low Viscosity	1	1	00:01:253	02.0000	18.3152	66.0000	083.768	018.424
Low Viscosity	1	1	00:01:261	02.0000	18.3152	66.0000	083.768	018.424
Low Viscosity	1	1	00:01:270	02.0000	18.5152	66.0000	083.835	018.623
Low Viscosity	1	1	00:01:277	02.0000	18.5152	66.0000	083.835	018.623
Low Viscosity	1	1	00:01:285	02.0000	18.7152	66.0000	083.900	018.822
Low Viscosity	1	1	00:01:292	02.0000	18.7152	66.0000	083.900	018.822
Low Viscosity	1	1	00:01:310	02.0000	18.7152	66.0000	083.900	018.822
Low Viscosity	1	1	00:01:317	02.0000	18.9152	66.0000	083.964	019.021
Low Viscosity	1	1	00:01:325	02.0000	19.1152	66.0000	084.027	019.220
Low Viscosity	1	1	00:01:343	02.0000	19.1152	66.0000	084.027	019.220
Low Viscosity	1	1	00:01:362	02.0000	19.3152	66.0000	084.088	019.418
Low Viscosity	1	1	00:01:384	02.0000	19.5152	66.0000	084.149	019.617
Low Viscosity	1	1	00:01:394	02.0000	19.7152	66.0000	084.207	019.816
Low Viscosity	1	1	00:01:411	02.0000	19.7152	66.0000	084.207	019.816
Low Viscosity	1	1	00:01:418	02.0000	19.9152	66.0000	084.265	020.015
Low Viscosity	1	1	00:01:426	02.0000	20.1152	66.0000	084.322	020.214
Low Viscosity	1	1	00:01:444	02.0000	20.1152	66.0000	084.322	020.214
Low Viscosity	1	1	00:01:451	02.0000	20.3152	66.0000	084.377	020.413
Low Viscosity	1	1	00:01:457	02.0000	20.3152	66.0000	084.377	020.413
Low Viscosity	1	1	00:01:465	02.0000	20.5152	66.0000	084.432	020.612
Low Viscosity	1	1	00:01:471	02.0000	20.5152	66.0000	084.432	020.612
Low Viscosity	1	1	00:01:478	02.0000	20.5152	66.0000	084.432	020.612
Low Viscosity	1	1	00:01:485	02.0000	20.7152	66.0000	084.485	020.812
Low Viscosity	1	1	00:01:492	02.0000	20.7152	66.0000	084.485	020.812
Low Viscosity	1	1	00:01:498	02.0000	20.7152	66.0000	084.485	020.812
Low Viscosity	1	1	00:01:505	02.0000	20.9152	66.0000	084.538	021.011
Low Viscosity	1	1	00:01:513	02.0000	20.9152	66.0000	084.538	021.011
